recall,precision
1.0,0.14245014245014245
1.0,0.14265335235378032
1.0,0.14285714285714285
1.0,0.1430615164520744
1.0,0.14326647564469913
1.0,0.14347202295552366
1.0,0.14367816091954022
1.0,0.14388489208633093
1.0,0.1440922190201729
1.0,0.1443001443001443
1.0,0.14450867052023122
1.0,0.1447178002894356
1.0,0.14492753623188406
1.0,0.14513788098693758
1.0,0.14534883720930233
1.0,0.14556040756914118
1.0,0.1457725947521866
1.0,0.145985401459854
1.0,0.14619883040935672
1.0,0.14641288433382138
1.0,0.1466275659824047
0.99,0.14537444933920704
0.99,0.14558823529411766
0.99,0.14580265095729014
0.99,0.14601769911504425
0.99,0.14623338257016247
0.99,0.14644970414201183
0.99,0.14666666666666667
0.99,0.14688427299703263
0.99,0.14710252600297177
0.99,0.14732142857142858
0.98,0.14605067064083457
0.98,0.14626865671641792
0.98,0.14648729446935724
0.98,0.1467065868263473
0.98,0.1469265367316342
0.97,0.14564564564564564
0.96,0.1443609022556391
0.96,0.14457831325301204
0.96,0.14479638009049775
0.96,0.14501510574018128
0.96,0.14523449319213314
0.96,0.14545454545454545
0.96,0.1456752655538695
0.96,0.1458966565349544
0.96,0.1461187214611872
0.96,0.14634146341463414
0.96,0.1465648854961832
0.96,0.14678899082568808
0.96,0.14701378254211334
0.96,0.147239263803681
0.96,0.14746543778801843
0.96,0.1476923076923077
0.96,0.14791987673343607
0.96,0.14814814814814814
0.96,0.14837712519319937
0.96,0.14860681114551083
0.95,0.14728682170542637
0.95,0.14751552795031056
0.95,0.14774494556765164
0.95,0.14797507788161993
0.95,0.1482059282371295
0.95,0.1484375
0.95,0.1486697965571205
0.95,0.14890282131661442
0.95,0.14913657770800628
0.95,0.14937106918238993
0.94,0.14803149606299212
0.94,0.14826498422712933
0.94,0.1484992101105845
0.94,0.14873417721518986
0.94,0.14896988906497624
0.94,0.1492063492063492
0.94,0.1494435612082671
0.94,0.14968152866242038
0.94,0.14992025518341306
0.94,0.1501597444089457
0.94,0.1504
0.94,0.15064102564102563
0.94,0.1508828250401284
0.93,0.1495176848874598
0.93,0.1497584541062802
0.93,0.15
0.93,0.15024232633279483
0.93,0.15048543689320387
0.93,0.1507293354943274
0.93,0.15097402597402598
0.93,0.15121951219512195
0.93,0.15146579804560262
0.93,0.15171288743882544
0.93,0.15196078431372548
0.93,0.15220949263502456
0.93,0.15245901639344261
0.93,0.15270935960591134
0.93,0.15296052631578946
0.93,0.15321252059308071
0.93,0.15346534653465346
0.93,0.1537190082644628
0.93,0.15397350993377484
0.93,0.15422885572139303
0.93,0.15448504983388706
0.93,0.15474209650582363
0.93,0.155
0.93,0.15525876460767946
0.93,0.15551839464882944
0.93,0.15577889447236182
0.93,0.15604026845637584
0.93,0.15630252100840336
0.93,0.15656565656565657
0.93,0.15682967959527824
0.93,0.1570945945945946
0.93,0.15736040609137056
0.93,0.1576271186440678
0.93,0.15789473684210525
0.93,0.15816326530612246
0.93,0.15843270868824533
0.93,0.15870307167235495
0.93,0.15897435897435896
0.93,0.15924657534246575
0.93,0.1595197255574614
0.93,0.15979381443298968
0.93,0.16006884681583478
0.93,0.16034482758620688
0.93,0.16062176165803108
0.93,0.16089965397923875
0.93,0.1611785095320624
0.93,0.16145833333333334
0.93,0.1617391304347826
0.93,0.16202090592334495
0.93,0.16230366492146597
0.93,0.16258741258741258
0.93,0.1628721541155867
0.92,0.16140350877192983
0.92,0.1616871704745167
0.92,0.1619718309859155
0.92,0.16225749559082892
0.92,0.1625441696113074
0.92,0.16283185840707964
0.92,0.16312056737588654
0.92,0.16341030195381884
0.92,0.16370106761565836
0.92,0.16399286987522282
0.92,0.16428571428571428
0.92,0.16457960644007155
0.92,0.16487455197132617
0.92,0.1651705565529623
0.92,0.16546762589928057
0.92,0.16576576576576577
0.92,0.16606498194945848
0.92,0.16636528028933092
0.92,0.16666666666666666
0.92,0.16696914700544466
0.92,0.16727272727272727
0.92,0.16757741347905283
0.91,0.16605839416058393
0.91,0.1663619744058501
0.91,0.16666666666666666
0.91,0.1669724770642202
0.91,0.16727941176470587
0.91,0.16758747697974216
0.91,0.16789667896678967
0.9,0.16635859519408502
0.89,0.1648148148148148
0.88,0.16326530612244897
0.88,0.16356877323420074
0.88,0.16387337057728119
0.88,0.16417910447761194
0.88,0.16448598130841122
0.88,0.1647940074906367
0.88,0.1651031894934334
0.87,0.16353383458646617
0.87,0.1638418079096045
0.87,0.1641509433962264
0.87,0.16446124763705103
0.87,0.16477272727272727
0.87,0.1650853889943074
0.87,0.16539923954372623
0.87,0.1657142857142857
0.87,0.16603053435114504
0.87,0.16634799235181644
0.87,0.16666666666666666
0.87,0.16698656429942418
0.86,0.16538461538461538
0.86,0.16570327552986513
0.85,0.1640926640926641
0.85,0.1644100580270793
0.85,0.16472868217054262
0.85,0.1650485436893204
0.85,0.16536964980544747
0.85,0.16569200779727095
0.85,0.166015625
0.85,0.16634050880626222
0.85,0.16666666666666666
0.85,0.16699410609037327
0.84,0.16535433070866143
0.84,0.16568047337278108
0.83,0.16403162055335968
0.83,0.16435643564356436
0.83,0.16468253968253968
0.83,0.16500994035785288
0.83,0.16533864541832669
0.83,0.1656686626746507
0.83,0.166
0.83,0.16633266533066132
0.83,0.16666666666666666
0.83,0.16700201207243462
0.83,0.16733870967741934
0.83,0.16767676767676767
0.83,0.1680161943319838
0.83,0.16835699797160245
0.83,0.16869918699186992
0.83,0.1690427698574338
0.83,0.16938775510204082
0.83,0.16973415132924335
0.83,0.17008196721311475
0.83,0.1704312114989733
0.83,0.17078189300411523
0.83,0.17148760330578514
0.83,0.17184265010351968
0.83,0.17219917012448133
0.82,0.1704781704781705
0.82,0.17083333333333334
0.82,0.17118997912317327
0.82,0.17154811715481172
0.82,0.1719077568134172
0.82,0.1722689075630252
0.82,0.1726315789473684
0.82,0.1729957805907173
0.82,0.1733615221987315
0.82,0.17372881355932204
0.81,0.17197452229299362
0.81,0.1723404255319149
0.81,0.17270788912579957
0.81,0.17307692307692307
0.81,0.1734475374732334
0.81,0.17381974248927037
0.81,0.17419354838709677
0.81,0.17456896551724138
0.81,0.17494600431965443
0.81,0.17532467532467533
0.8,0.1735357917570499
0.8,0.17391304347826086
0.8,0.17429193899782136
0.79,0.17248908296943233
0.79,0.17286652078774617
0.79,0.17324561403508773
0.79,0.17362637362637362
0.79,0.17400881057268722
0.79,0.17439293598233996
0.79,0.1747787610619469
0.79,0.17516629711751663
0.79,0.17555555555555555
0.79,0.1759465478841871
0.79,0.17633928571428573
0.79,0.1767337807606264
0.79,0.17713004484304934
0.79,0.17752808988764046
0.79,0.17792792792792791
0.79,0.17832957110609482
0.79,0.17873303167420815
0.79,0.17913832199546487
0.79,0.17954545454545454
0.79,0.17995444191343962
0.78,0.1780821917808219
0.78,0.17848970251716248
0.77,0.17660550458715596
0.76,0.17471264367816092
0.76,0.17511520737327188
0.76,0.17551963048498845
0.76,0.17592592592592593
0.76,0.17633410672853828
