i_tpr,i_fpr
0.0,0.0
0.01,0.0
0.06,0.0
0.06,0.0009940357852882703
0.18,0.0009940357852882703
0.18,0.0019880715705765406
0.22,0.0019880715705765406
0.22,0.002982107355864811
0.27,0.002982107355864811
0.27,0.003976143141153081
0.3,0.003976143141153081
0.3,0.004970178926441352
0.32,0.004970178926441352
0.32,0.005964214711729622
0.34,0.005964214711729622
0.34,0.006958250497017893
0.42,0.006958250497017893
0.42,0.008946322067594433
0.44,0.008946322067594433
0.44,0.009940357852882704
0.45,0.009940357852882704
0.45,0.010934393638170975
0.49,0.010934393638170975
0.49,0.011928429423459244
0.56,0.011928429423459244
0.56,0.012922465208747515
0.6,0.012922465208747515
0.6,0.013916500994035786
0.63,0.013916500994035786
0.63,0.014910536779324055
0.66,0.014910536779324055
0.66,0.016898608349900597
0.67,0.016898608349900597
0.67,0.018886679920477135
0.68,0.018886679920477135
0.68,0.019880715705765408
0.69,0.019880715705765408
0.69,0.020874751491053677
0.71,0.020874751491053677
0.71,0.02186878727634195
0.72,0.02186878727634195
0.72,0.02385685884691849
0.73,0.02385685884691849
0.73,0.02485089463220676
0.74,0.02485089463220676
0.74,0.02584493041749503
0.75,0.02584493041749503
0.75,0.0268389662027833
0.77,0.0268389662027833
0.77,0.030815109343936383
0.78,0.030815109343936383
0.78,0.032803180914512925
0.8,0.032803180914512925
0.8,0.036779324055666
0.83,0.036779324055666
0.83,0.03777335984095427
0.84,0.03777335984095427
0.84,0.040755467196819085
0.85,0.040755467196819085
0.85,0.0437375745526839
0.87,0.0437375745526839
0.87,0.04671968190854871
0.88,0.04671968190854871
0.88,0.04771371769383698
0.89,0.04771371769383698
0.89,0.06759443339960239
0.9,0.06759443339960239
0.9,0.07952286282306163
0.91,0.07952286282306163
0.91,0.0874751491053678
0.93,0.0874751491053678
0.93,0.13518886679920478
0.94,0.13518886679920478
0.94,0.13916500994035785
0.95,0.13916500994035785
0.95,0.18588469184890655
0.96,0.18588469184890655
0.96,0.19383697813121273
0.97,0.19383697813121273
0.97,0.21868787276341947
0.98,0.21868787276341947
0.98,0.22365805168986083
0.98,0.22564612326043737
0.99,0.22564612326043737
0.99,0.25944333996023855
0.99,0.2614314115308151
0.99,0.3220675944333996
1.0,0.3220675944333996
1.0,0.39065606361829025
1.0,0.3926441351888668
1.0,0.4095427435387674
1.0,0.4115308151093439
1.0,0.47912524850894633
1.0,0.48111332007952284
1.0,0.6630218687872763
1.0,0.6650099403578529
1.0,0.705765407554672
1.0,0.7077534791252486
1.0,0.7306163021868787
1.0,0.7326043737574552
1.0,0.7465208747514911
1.0,0.7485089463220675
1.0,0.7504970178926441
1.0,0.7524850894632207
1.0,0.8578528827037774
1.0,0.8598409542743539
1.0,1.0
