i_tpr,i_fpr
0.0,0.0
0.01,0.0
0.1,0.0
0.1,0.0009950248756218905
0.11,0.0009950248756218905
0.11,0.001990049751243781
0.13,0.001990049751243781
0.13,0.0029850746268656717
0.16,0.0029850746268656717
0.16,0.003980099502487562
0.19,0.003980099502487562
0.19,0.004975124378109453
0.28,0.004975124378109453
0.28,0.005970149253731343
0.3,0.005970149253731343
0.3,0.006965174129353234
0.34,0.006965174129353234
0.34,0.007960199004975124
0.41,0.007960199004975124
0.41,0.009950248756218905
0.43,0.009950248756218905
0.43,0.012935323383084577
0.44,0.012935323383084577
0.44,0.015920398009950248
0.46,0.015920398009950248
0.46,0.01691542288557214
0.47,0.01691542288557214
0.47,0.01791044776119403
0.48,0.01791044776119403
0.48,0.01890547263681592
0.49,0.01890547263681592
0.49,0.01990049751243781
0.51,0.01990049751243781
0.51,0.020895522388059702
0.52,0.020895522388059702
0.52,0.022885572139303482
0.54,0.022885572139303482
0.54,0.024875621890547265
0.57,0.024875621890547265
0.57,0.028855721393034824
0.58,0.028855721393034824
0.58,0.030845771144278607
0.59,0.030845771144278607
0.59,0.031840796019900496
0.6,0.031840796019900496
0.6,0.03383084577114428
0.61,0.03383084577114428
0.61,0.03482587064676617
0.63,0.03482587064676617
0.63,0.03681592039800995
0.65,0.03681592039800995
0.65,0.03781094527363184
0.66,0.03781094527363184
0.66,0.03880597014925373
0.68,0.03880597014925373
0.68,0.042786069651741296
0.7,0.042786069651741296
0.7,0.04378109452736319
0.72,0.04378109452736319
0.72,0.045771144278606964
0.74,0.045771144278606964
0.74,0.04776119402985075
0.75,0.04776119402985075
0.75,0.04875621890547264
0.79,0.04875621890547264
0.79,0.0527363184079602
0.81,0.0527363184079602
0.81,0.05373134328358209
0.82,0.05373134328358209
0.82,0.05870646766169154
0.83,0.05870646766169154
0.83,0.06766169154228856
0.84,0.06766169154228856
0.84,0.0736318407960199
0.86,0.0736318407960199
0.86,0.08059701492537313
0.87,0.08059701492537313
0.87,0.08855721393034825
0.88,0.08855721393034825
0.88,0.08955223880597014
0.9,0.08955223880597014
0.9,0.09154228855721393
0.91,0.09154228855721393
0.91,0.1044776119402985
0.92,0.1044776119402985
0.92,0.1054726368159204
0.93,0.1054726368159204
0.93,0.12935323383084577
0.93,0.13134328358208955
0.93,0.1383084577114428
0.95,0.1383084577114428
0.95,0.14328358208955225
0.96,0.14328358208955225
0.96,0.15223880597014924
0.97,0.15223880597014924
0.97,0.15422885572139303
0.98,0.15422885572139303
0.98,0.16517412935323383
0.99,0.16517412935323383
0.99,0.16616915422885573
1.0,0.16616915422885573
1.0,0.6965174129353234
1.0,0.6985074626865672
1.0,0.9124378109452737
1.0,0.9144278606965174
1.0,0.9213930348258706
1.0,0.9233830845771144
1.0,0.954228855721393
1.0,0.9562189054726368
1.0,1.0
