i_tpr,i_fpr
0.0,0.0
0.0,0.0016611295681063123
0.0,0.009966777408637873
0.01,0.009966777408637873
0.01,0.013289036544850499
0.05,0.013289036544850499
0.05,0.014950166112956811
0.06,0.014950166112956811
0.06,0.018272425249169437
0.09,0.018272425249169437
0.09,0.019933554817275746
0.1,0.019933554817275746
0.1,0.02823920265780731
0.13,0.02823920265780731
0.13,0.029900332225913623
0.14,0.029900332225913623
0.14,0.03322259136212625
0.16,0.03322259136212625
0.16,0.03488372093023256
0.18,0.03488372093023256
0.18,0.04318936877076412
0.19,0.04318936877076412
0.19,0.046511627906976744
0.2,0.046511627906976744
0.2,0.04983388704318937
0.21,0.04983388704318937
0.21,0.053156146179401995
0.22,0.053156146179401995
0.22,0.05813953488372093
0.23,0.05813953488372093
0.23,0.0681063122923588
0.24,0.0681063122923588
0.24,0.07142857142857142
0.25,0.07142857142857142
0.25,0.08139534883720931
0.26,0.08139534883720931
0.26,0.08637873754152824
0.28,0.08637873754152824
0.28,0.08803986710963455
0.3,0.08803986710963455
0.3,0.08970099667774087
0.31,0.08970099667774087
0.31,0.0946843853820598
0.32,0.0946843853820598
0.32,0.10631229235880399
0.33,0.10631229235880399
0.33,0.1079734219269103
0.34,0.1079734219269103
0.34,0.1478405315614618
0.36,0.1478405315614618
0.36,0.1611295681063123
0.38,0.1611295681063123
0.38,0.16611295681063123
0.4,0.16611295681063123
0.4,0.17940199335548174
0.41,0.17940199335548174
0.41,0.21096345514950166
0.42,0.21096345514950166
0.42,0.22259136212624583
0.43,0.22259136212624583
0.43,0.22757475083056478
0.44,0.22757475083056478
0.44,0.23920265780730898
0.45,0.23920265780730898
0.45,0.24086378737541528
0.46,0.24086378737541528
0.46,0.25249169435215946
0.48,0.25249169435215946
0.48,0.2541528239202658
0.5,0.2541528239202658
0.5,0.26245847176079734
0.52,0.26245847176079734
0.52,0.26744186046511625
0.53,0.26744186046511625
0.53,0.2724252491694352
0.54,0.2724252491694352
0.54,0.27906976744186046
0.55,0.27906976744186046
0.55,0.3023255813953488
0.56,0.3023255813953488
0.56,0.32558139534883723
0.57,0.32558139534883723
0.57,0.3338870431893688
0.58,0.3338870431893688
0.58,0.3521594684385382
0.59,0.3521594684385382
0.59,0.3704318936877076
0.62,0.3704318936877076
0.62,0.37375415282392027
0.63,0.37375415282392027
0.63,0.3770764119601329
0.64,0.3770764119601329
0.64,0.3803986710963455
0.64,0.39368770764119604
0.64,0.39700996677740863
0.64,0.420265780730897
0.65,0.420265780730897
0.65,0.45182724252491696
0.66,0.45182724252491696
0.66,0.4568106312292359
0.67,0.4568106312292359
0.67,0.4601328903654485
0.68,0.4601328903654485
0.68,0.5232558139534884
0.71,0.5232558139534884
0.71,0.526578073089701
0.72,0.526578073089701
0.72,0.5398671096345515
0.73,0.5398671096345515
0.73,0.5498338870431894
0.74,0.5498338870431894
0.74,0.574750830564784
0.75,0.574750830564784
0.75,0.5863787375415282
0.76,0.5863787375415282
0.76,0.5963455149501661
0.78,0.5963455149501661
0.78,0.5980066445182725
0.79,0.5980066445182725
0.79,0.6295681063122923
0.8,0.6295681063122923
0.8,0.632890365448505
0.81,0.632890365448505
0.81,0.6478405315614618
0.82,0.6478405315614618
0.82,0.6627906976744186
0.83,0.6627906976744186
0.83,0.6661129568106312
0.83,0.6694352159468439
0.83,0.7026578073089701
0.84,0.7026578073089701
0.84,0.7043189368770764
0.85,0.7043189368770764
0.85,0.7192691029900332
0.86,0.7192691029900332
0.86,0.7209302325581395
0.87,0.7209302325581395
0.87,0.739202657807309
0.88,0.739202657807309
0.88,0.7491694352159468
0.91,0.7491694352159468
0.91,0.7591362126245847
0.92,0.7591362126245847
0.92,0.7940199335548173
0.93,0.7940199335548173
0.93,0.8787375415282392
0.94,0.8787375415282392
0.94,0.8986710963455149
0.95,0.8986710963455149
0.95,0.9136212624584718
0.96,0.9136212624584718
0.96,0.9451827242524917
0.98,0.9451827242524917
0.98,0.9518272425249169
0.99,0.9518272425249169
0.99,0.9667774086378738
1.0,0.9667774086378738
1.0,1.0
