recall,precision
1.0,0.16666666666666666
1.0,0.1669449081803005
1.0,0.16722408026755853
1.0,0.16750418760469013
1.0,0.16778523489932887
1.0,0.16806722689075632
1.0,0.16835016835016836
1.0,0.16863406408094436
1.0,0.16891891891891891
1.0,0.1692047377326565
1.0,0.1694915254237288
1.0,0.1697792869269949
1.0,0.17006802721088435
1.0,0.17035775127768313
1.0,0.17064846416382254
1.0,0.17094017094017094
1.0,0.17123287671232876
1.0,0.17152658662092624
1.0,0.1718213058419244
1.0,0.1721170395869191
1.0,0.1724137931034483
1.0,0.17271157167530224
1.0,0.17301038062283736
1.0,0.1733102253032929
1.0,0.1736111111111111
0.99,0.17217391304347826
0.99,0.17247386759581881
0.99,0.17277486910994763
0.99,0.17307692307692307
0.99,0.1733800350262697
0.99,0.1736842105263158
0.99,0.17398945518453426
0.99,0.1742957746478873
0.99,0.1746031746031746
0.99,0.17491166077738515
0.99,0.1752212389380531
0.99,0.17553191489361702
0.98,0.17406749555950266
0.98,0.17437722419928825
0.98,0.1746880570409982
0.98,0.175
0.98,0.17531305903398928
0.98,0.17562724014336917
0.98,0.17594254937163376
0.98,0.17625899280575538
0.97,0.17477477477477477
0.97,0.17509025270758122
0.97,0.17540687160940324
0.97,0.17572463768115942
0.97,0.17604355716878403
0.97,0.17636363636363636
0.97,0.1766848816029144
0.97,0.177007299270073
0.97,0.1773308957952468
0.97,0.17765567765567766
0.97,0.1779816513761468
0.97,0.17830882352941177
0.97,0.17863720073664824
0.97,0.17896678966789667
0.97,0.17929759704251386
0.97,0.17962962962962964
0.97,0.17996289424860853
0.97,0.18029739776951673
0.97,0.18063314711359404
0.97,0.18097014925373134
0.97,0.18130841121495328
0.97,0.18164794007490637
0.97,0.18198874296435272
0.97,0.18233082706766918
0.97,0.18267419962335216
0.97,0.1830188679245283
0.97,0.1833648393194707
0.97,0.18371212121212122
0.97,0.1840607210626186
0.97,0.1844106463878327
0.97,0.18476190476190477
0.97,0.1851145038167939
0.97,0.18546845124282982
0.97,0.18582375478927204
0.97,0.18618042226487524
0.97,0.18653846153846154
0.97,0.18689788053949905
0.97,0.18725868725868725
0.97,0.18762088974854932
0.97,0.187984496124031
0.97,0.1883495145631068
0.97,0.188715953307393
0.97,0.18908382066276802
0.97,0.189453125
0.97,0.1898238747553816
0.97,0.19019607843137254
0.97,0.1905697445972495
0.97,0.19094488188976377
0.97,0.1913214990138067
0.97,0.191699604743083
0.97,0.19207920792079208
0.97,0.19246031746031747
0.97,0.19284294234592445
0.97,0.19322709163346613
0.97,0.1936127744510978
0.97,0.194
0.97,0.19438877755511022
0.97,0.19477911646586346
0.97,0.19517102615694165
0.97,0.19556451612903225
0.97,0.19595959595959597
0.97,0.19635627530364372
0.97,0.19675456389452334
0.97,0.19715447154471544
0.97,0.1975560081466395
0.97,0.19795918367346937
0.97,0.1983640081799591
0.97,0.1987704918032787
0.97,0.19917864476386038
0.97,0.19958847736625515
0.97,0.2
0.97,0.20041322314049587
0.97,0.20082815734989648
0.97,0.2012448132780083
0.97,0.20166320166320167
0.97,0.20208333333333334
0.97,0.20250521920668058
0.97,0.20292887029288703
0.97,0.20335429769392033
0.97,0.20378151260504201
0.97,0.20421052631578948
0.97,0.20464135021097046
0.97,0.20507399577167018
0.97,0.2055084745762712
0.97,0.2059447983014862
0.97,0.20638297872340425
0.97,0.2068230277185501
0.97,0.20726495726495728
0.97,0.20770877944325483
