recall,precision
1.0,0.3333333333333333
1.0,0.33707865168539325
1.0,0.3409090909090909
1.0,0.3448275862068966
1.0,0.3488372093023256
1.0,0.35294117647058826
1.0,0.35714285714285715
1.0,0.3614457831325301
1.0,0.36585365853658536
1.0,0.37037037037037035
1.0,0.375
1.0,0.379746835443038
1.0,0.38461538461538464
1.0,0.38961038961038963
1.0,0.39473684210526316
1.0,0.4
1.0,0.40540540540540543
1.0,0.410958904109589
1.0,0.4166666666666667
1.0,0.4225352112676056
1.0,0.42857142857142855
1.0,0.43478260869565216
1.0,0.4411764705882353
1.0,0.44776119402985076
1.0,0.45454545454545453
1.0,0.46153846153846156
1.0,0.46875
1.0,0.47619047619047616
1.0,0.4838709677419355
1.0,0.4918032786885246
1.0,0.5
1.0,0.5084745762711864
1.0,0.5172413793103449
1.0,0.5263157894736842
1.0,0.5357142857142857
1.0,0.5454545454545454
1.0,0.5555555555555556
1.0,0.5660377358490566
1.0,0.5769230769230769
1.0,0.5882352941176471
1.0,0.6
1.0,0.6122448979591837
1.0,0.625
1.0,0.6382978723404256
1.0,0.6521739130434783
1.0,0.6666666666666666
1.0,0.6818181818181818
1.0,0.6976744186046512
1.0,0.7142857142857143
1.0,0.7317073170731707
1.0,0.75
1.0,0.7692307692307693
1.0,0.7894736842105263
1.0,0.8108108108108109
1.0,0.8333333333333334
1.0,0.8571428571428571
1.0,0.8823529411764706
1.0,0.9090909090909091
1.0,0.9375
1.0,0.967741935483871
1.0,1.0
0.9666666666666667,1.0
0.9333333333333333,1.0
0.9,1.0
0.8666666666666667,1.0
0.8333333333333334,1.0
0.8,1.0
0.7666666666666667,1.0
0.7333333333333333,1.0
0.7,1.0
0.6666666666666666,1.0
0.6333333333333333,1.0
0.6,1.0
0.5666666666666667,1.0
0.5333333333333333,1.0
0.5,1.0
0.4666666666666667,1.0
0.43333333333333335,1.0
0.4,1.0
0.36666666666666664,1.0
0.3333333333333333,1.0
0.3,1.0
0.26666666666666666,1.0
0.23333333333333334,1.0
0.2,1.0
0.16666666666666666,1.0
0.13333333333333333,1.0
0.1,1.0
0.06666666666666667,1.0
0.03333333333333333,1.0
0.0,1.0
