recall,precision
1.0,0.3323170731707317
1.0,0.3333333333333333
1.0,0.3343558282208589
1.0,0.3353846153846154
1.0,0.33641975308641975
1.0,0.33746130030959753
1.0,0.3385093167701863
1.0,0.3395638629283489
1.0,0.340625
1.0,0.34169278996865204
1.0,0.34276729559748426
1.0,0.3438485804416404
1.0,0.3449367088607595
1.0,0.346031746031746
1.0,0.3471337579617834
1.0,0.34824281150159747
1.0,0.34935897435897434
1.0,0.3504823151125402
1.0,0.35161290322580646
1.0,0.35275080906148865
1.0,0.3538961038961039
1.0,0.3550488599348534
1.0,0.3562091503267974
1.0,0.35737704918032787
1.0,0.35855263157894735
1.0,0.35973597359735976
1.0,0.3609271523178808
1.0,0.36212624584717606
1.0,0.36333333333333334
1.0,0.36454849498327757
1.0,0.36577181208053694
1.0,0.367003367003367
1.0,0.36824324324324326
1.0,0.3694915254237288
1.0,0.3707482993197279
1.0,0.3720136518771331
1.0,0.3732876712328767
1.0,0.3745704467353952
1.0,0.3758620689655172
1.0,0.3771626297577855
1.0,0.3784722222222222
1.0,0.3797909407665505
1.0,0.3811188811188811
1.0,0.3824561403508772
1.0,0.38380281690140844
1.0,0.38515901060070673
1.0,0.38652482269503546
1.0,0.3879003558718861
1.0,0.3892857142857143
1.0,0.3906810035842294
1.0,0.3920863309352518
1.0,0.3935018050541516
1.0,0.39492753623188404
1.0,0.39636363636363636
1.0,0.3978102189781022
1.0,0.3992673992673993
1.0,0.4007352941176471
1.0,0.4022140221402214
1.0,0.40370370370370373
1.0,0.4052044609665427
1.0,0.40671641791044777
1.0,0.40823970037453183
1.0,0.40977443609022557
1.0,0.41132075471698115
1.0,0.4128787878787879
1.0,0.4144486692015209
1.0,0.41603053435114506
1.0,0.41762452107279696
0.9908256880733946,0.4153846153846154
0.9908256880733946,0.416988416988417
0.9908256880733946,0.4186046511627907
0.9908256880733946,0.42023346303501946
0.9908256880733946,0.421875
0.9908256880733946,0.4235294117647059
0.981651376146789,0.421259842519685
0.981651376146789,0.42292490118577075
0.981651376146789,0.4246031746031746
0.981651376146789,0.4262948207171315
0.981651376146789,0.428
0.981651376146789,0.42971887550200805
0.981651376146789,0.4314516129032258
0.981651376146789,0.4331983805668016
0.9724770642201835,0.43089430894308944
0.9724770642201835,0.4326530612244898
0.963302752293578,0.430327868852459
0.963302752293578,0.43209876543209874
0.9541284403669725,0.4315352697095436
0.9541284403669725,0.43333333333333335
0.9541284403669725,0.4351464435146444
0.9541284403669725,0.4369747899159664
