i_tpr,i_fpr
0.0,0.0
0.01,0.0
0.4,0.0
0.4,0.00199203187250996
0.42,0.00199203187250996
0.42,0.00298804780876494
0.44,0.00298804780876494
0.44,0.0049800796812749
0.45,0.0049800796812749
0.45,0.00796812749003984
0.46,0.00796812749003984
0.46,0.0099601593625498
0.47,0.0099601593625498
0.47,0.010956175298804782
0.5,0.010956175298804782
0.5,0.013944223107569721
0.51,0.013944223107569721
0.51,0.01693227091633466
0.52,0.01693227091633466
0.52,0.021912350597609563
0.54,0.021912350597609563
0.54,0.022908366533864542
0.56,0.022908366533864542
0.56,0.02390438247011952
0.6,0.02390438247011952
0.6,0.02888446215139442
0.61,0.02888446215139442
0.61,0.029880478087649404
0.63,0.029880478087649404
0.63,0.03386454183266932
0.64,0.03386454183266932
0.64,0.03884462151394422
0.65,0.03884462151394422
0.65,0.043824701195219126
0.66,0.043824701195219126
0.66,0.049800796812749
0.68,0.049800796812749
0.68,0.052788844621513946
0.71,0.052788844621513946
0.71,0.055776892430278883
0.72,0.055776892430278883
0.72,0.05677290836653386
0.75,0.05677290836653386
0.75,0.05776892430278884
0.78,0.05776892430278884
0.78,0.08864541832669323
0.79,0.08864541832669323
0.79,0.0946215139442231
0.8,0.0946215139442231
0.8,0.09860557768924302
0.81,0.09860557768924302
0.81,0.10458167330677291
0.82,0.10458167330677291
0.82,0.12151394422310757
0.83,0.12151394422310757
0.83,0.13147410358565736
0.84,0.13147410358565736
0.84,0.14442231075697212
0.85,0.14442231075697212
0.85,0.15737051792828685
0.86,0.15737051792828685
0.86,0.1603585657370518
0.87,0.1603585657370518
0.87,0.16135458167330677
0.88,0.16135458167330677
0.88,0.17031872509960158
0.89,0.17031872509960158
0.89,0.17231075697211157
0.9,0.17231075697211157
0.9,0.18426294820717132
0.91,0.18426294820717132
0.91,0.2061752988047809
0.92,0.2061752988047809
0.92,0.20816733067729085
0.92,0.20916334661354583
0.93,0.20916334661354583
0.93,0.2290836653386454
0.94,0.2290836653386454
0.94,0.24601593625498008
0.95,0.24601593625498008
0.95,0.2539840637450199
0.96,0.2539840637450199
0.96,0.3247011952191235
0.97,0.3247011952191235
0.97,0.4252988047808765
0.98,0.4252988047808765
0.98,0.4541832669322709
0.99,0.4541832669322709
0.99,0.6772908366533864
1.0,0.6772908366533864
1.0,1.0
